['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
134098,KRT->UST,0.33857830643178055,0.14604354753054444,3124301,2600.1208292763918,10013969502,19988669.245989807,347952.31388342346,2587.8615019018453
134131,UST->KRT,228.8176914844127,-0.1502629601802995,1261.9000000000012,1512233.7253620569,10004207268.274637,20001261.9,348181.13157490786,2587.8615019018453
134162,UST->KRT,113.2101159864016,-0.14129282938892054,887.3000000000008,1063368.9286842875,9998936631.071316,20000887.3,348294.3416908943,2587.8615019018453
134462,KRT->UST,0.03050234662423524,0.1278152408656217,937901,780.615723169764,10000937901,19999219.38427683,348294.3416908943,2587.8920042484697
134481,KRT->UST,0.44308043781043893,0.1497863341997485,3574901,2975.0655846312197,10003574901,19997024.93441537,348294.3416908943,2588.33508468628
134517,KRT->UST,0.0347468892752193,0.12834129934502084,1001001,833.1317086801449,10001001001,19999166.86829132,348294.3416908943,2588.369831575555
134604,KRT->UST,0.008931971058371074,0.12422911398019996,507501,422.4010562285124,10000507501,19999577.59894377,348294.3416908943,2588.3787635466133
134605,UST->KRT,59599.08004745007,-0.6085461039819962,20406.40000000002,24398478.154155012,9975859022.845844,20020406.4,407893.42173834436,2588.3787635466133
134606,KRT->UST,182.36613537203533,0.7239939593141923,72771001,60386.59176546663,10048880023.845844,19959519.80823453,407893.42173834436,2770.7448989186487
134836,UST->KRT,124.43436402183966,-0.14232342999467498,930.2000000000008,1114775.926732947,9998885224.073267,20000930.2,408017.8561023662,2770.7448989186487
135099,KRT->UST,0.609283767091221,0.1549289540082334,4192201,3488.69851150259,10004192201,19996511.301488496,408017.8561023662,2771.35418268574
135113,UST->KRT,1736.7488271143436,-0.20339582596391534,3476.500000000003,4165054.2945910646,9996527146.705408,20003476.5,409754.6049294805,2771.35418268574
135114,UST->KRT,299.90556495315883,-0.15466195315952277,1444.0000000000014,1730420.3356690558,9995046726.36974,20004420.5,410054.5104944337,2771.35418268574
135116,UST->KRT,3.22214977187516,-0.12359302582212237,149.60000000000014,179301.35187905031,9995367425.01786,20003570.1,410057.73264420556,2771.35418268574
135126,UST->KRT,2.7892698013156556,-0.12334258402712335,139.20000000000013,166836.76121530164,9997700588.256645,20000139.2,410060.52191400685,2771.35418268574
135130,KRT->UST,28.241747111573968,0.35780545984627216,28570601,23751.954237053393,10027271189.256645,19976248.045762945,410060.52191400685,2799.595929797314
135131,KRT->UST,1.6019886991637615,0.1766706417561062,6794501,5653.6852947773705,10033815690.256645,19971094.360468168,410060.52191400685,2801.197918496478
135187,KRT->UST,0.03283577009103568,0.12810884834563288,973101,809.9115194846888,10020788791.256645,19998284.44894868,410060.52191400685,2801.230754266569
135190,KRT->UST,0.03334326582730324,0.12817113055776944,980601,816.1535118681596,10021019392.256645,19998968.295436814,410060.52191400685,2801.264097532396
135485,KRT->UST,0.2460564786721452,0.14219694276572245,2663901,2217.0072246611953,10002663901,19997782.99277534,410060.52191400685,2801.510154011068
135691,KRT->UST,5.314508711513767e-05,0.12032621774588075,39101,32.54501258035729,10000039101,19999967.454987418,410060.52191400685,2801.510207156155
135802,KRT->UST,0.000294209063944933,0.12076754484055433,92101,76.65843779994275,10000092101,19999923.3415622,410060.52191400685,2801.510501365219
136955,KRT->UST,21.628438911440913,0.3281079110462914,24998901,20785.741697168738,10024998901,19979214.25830283,410060.52191400685,2823.13894027666
137204,KRT->UST,0.00550942202984738,0.12332145793367215,398601,331.7633823292201,10000398601,19999668.23661767,410060.52191400685,2823.1444496986896
137278,UST->KRT,2.1577533427741518,-0.1229396229851479,122.50000000000011,146821.4391317649,9999853178.560867,20000122.5,410062.6796673496,2823.1444496986896
137455,UST->KRT,476.75976329627764,-0.16369588941432836,1821.1000000000017,2182220.157989616,9997817779.84201,20001821.1,410539.4394306459,2823.1444496986896
137655,KRT->UST,0.0029545457094231767,0.12243232213303486,291901,242.9559738209205,10000291901,19999757.044026177,410539.4394306459,2823.1474042443992
137661,UST->KRT,1.332776734107572,-0.1223103057757562,96.30000000000008,115419.99260407193,9999884580.007397,20000096.3,410540.77220738,2823.1474042443992
138008,KRT->UST,0.3121192958133542,0.14499977343784576,3000301,2496.938008691229,10003000301,19997503.061991308,410540.77220738,2823.4595235402126
138014,KRT->UST,1.3760543030024055,0.17249205628688977,6300701,5242.905395745709,10007801002,19994757.094604254,410540.77220738,2824.835577843215
138367,UST->KRT,63.91450057422191,-0.13599891200870393,666.7000000000006,799015.9507201992,9999200984.04928,20000666.7,410604.6867079542,2824.835577843215
138625,KRT->UST,0.32492475983530056,0.14550745725719685,3061301,2547.6975056464353,10003061301,19997452.302494355,410604.6867079542,2825.16050260305
139022,KRT->UST,0.002331921996212652,0.12216089041716918,259301,215.8225310735359,10000259301,19999784.177468926,410604.6867079542,2825.1628345250465
139073,UST->KRT,366.6820943574752,-0.15832089383453204,1597.0000000000014,1913733.131472011,9998086266.868528,20001597.0,410971.3688023117,2825.1628345250465
139426,UST->KRT,1707.8814885009224,-0.20270270270270271,3447.4000000000033,4130205.074070186,9995869794.92593,20003447.4,412679.25029081263,2825.1628345250465
139756,KRT->UST,0.019908683688405704,0.12631389001669968,757701,630.6398652263614,10000757701,19999369.360134773,412679.25029081263,2825.182743208735
139778,KRT->UST,1.8346641443484906,0.18061136948570913,7275601,6053.887790398682,10007275601,19993946.1122096,412679.25029081263,2827.0174073530834
139779,KRT->UST,33.85850273840825,0.38041755355283235,31282101,26003.192095997176,10038307702,19968442.9201136,412679.25029081263,2860.8759100914917
139795,UST->KRT,34.00983160829592,-0.13165062647539907,487.1000000000004,583784.528436475,10033723917.471563,19976930.020113602,412713.2601224209,2860.8759100914917
140100,KRT->UST,1.6257074078833842,0.17705543196985932,6848601,5698.690775555008,10006848601,19994301.309224445,412713.2601224209,2862.5016174993752
140106,KRT->UST,0.13340191702223697,0.13634504385765578,1961301,1632.3226258638686,10007309902,19995668.98659858,412713.2601224209,2862.6350194163974
140107,KRT->UST,0.13379931847582743,0.13636983499249966,1964201,1634.7359896638402,10009024103,19994534.250608917,412713.2601224209,2862.768818734873
